No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
38,14.4693,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=1 Ack=159 Win=6873 Len=0,,,,,,,,,,,,,,,14.479313,14.4693,0.010013,0,0.010013
39,14.479313,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=1 Ack=120 Win=6834 Len=0,,,,,,,,,,,,,,,14.479313,14.479313,0,0.041672,0.041672
40,14.479313,172.217.194.138,192.168.43.53,TLSv1.2,93,Application Data,,,,,,,,,,,,,,,14.520985,14.479313,0.041672,0.054356,0.012684
41,14.520985,192.168.43.53,172.217.194.138,TCP,54,53432  >  443 [ACK] Seq=1545 Ack=40 Win=65241 Len=0,,,,,,,,,,,,,,,14.575341,14.520985,0.054356,0.003045,0.051311
42,14.575341,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=40 Ack=1545 Win=8259 Len=0,,,,,,,,,,,,,,,14.578386,14.575341,0.003045,0.079299,0.076254
43,14.578386,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=40 Ack=1519 Win=8233 Len=0,,,,,,,,,,,,,,,14.657685,14.578386,0.079299,0.003198,0.076101
44,14.657685,172.217.194.138,192.168.43.53,TLSv1.2,135,Application Data,,,,,,,,,,,,,,,14.660883,14.657685,0.003198,0.000102,0.003096
45,14.660883,172.217.194.138,192.168.43.53,TLSv1.2,452,Application Data,,,,,,,,,,,,,,,14.660985,14.660883,0.000102,0.035745,0.035643
46,14.660985,192.168.43.53,172.217.194.138,TCP,54,53432  >  443 [ACK] Seq=1545 Ack=519 Win=64762 Len=0,,,,,,,,,,,,,,,14.69673,14.660985,0.035745,0,0.035745
47,14.69673,172.217.194.138,192.168.43.53,TLSv1.2,273,"Application Data, Application Data",,,,,,,,,,,,,,,14.69673,14.69673,0,0.000103,0.000103
48,14.69673,172.217.194.138,192.168.43.53,TLSv1.2,93,Application Data,,,,,,,,,,,,,,,14.696833,14.69673,0.000103,0.002091,0.001988
49,14.696833,192.168.43.53,172.217.194.138,TCP,54,53432  >  443 [ACK] Seq=1545 Ack=777 Win=64504 Len=0,,,,,,,,,,,,,,,14.698924,14.696833,0.002091,0.076435,0.074344
50,14.698924,192.168.43.53,172.217.194.138,TLSv1.2,93,Application Data,,,,,,,,,,,,,,,14.775359,14.698924,0.076435,1.268158,1.191723
51,14.775359,172.217.194.138,192.168.43.53,TCP,54,443  >  53432 [ACK] Seq=777 Ack=1584 Win=8298 Len=0,,,,,,,,,,,,,,,16.043517,14.775359,1.268158,0.440254,0.827904
53,16.043517,104.214.78.152,192.168.43.53,TCP,54,"443  >  53437 [RST, ACK] Seq=1 Ack=53 Win=0 Len=0",,,,,,,,,,,,,,,16.483771,16.043517,0.440254,0.332204,0.10805
57,16.483771,192.168.43.53,104.214.78.152,TCP,74,53438  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116585113 TSecr=0,,,,,,,,,,,,,,,16.815975,16.483771,0.332204,0.00016,0.332044
58,16.815975,104.214.78.152,192.168.43.53,TCP,70,"443  >  53438 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=2847500320 TSecr=116585113",,,,,,,,,,,,,,,16.816135,16.815975,0.00016,0.001256,0.001096
59,16.816135,192.168.43.53,104.214.78.152,TCP,66,53438  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116585445 TSecr=2847500320,,,,,,,,,,,,,,,16.817391,16.816135,0.001256,0.043404,0.042148
60,16.817391,192.168.43.53,104.214.78.152,TLSv1.2,280,Client Hello,,,,,,,,,,,,,,,16.860795,16.817391,0.043404,4.318412,4.275008
